Molecule_id                    Molecule_Name                 
0                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
1                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
2                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
3                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
4                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
5                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
6                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
7                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
8                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
9                              OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
10                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
11                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
12                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
13                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
14                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
15                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
16                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
17                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
18                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
19                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
20                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
21                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
22                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
23                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
24                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
25                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
26                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
27                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
28                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
29                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
30                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
31                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
32                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
33                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
34                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
35                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
36                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
37                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
38                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
39                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
40                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
41                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
42                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
43                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
44                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
45                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
46                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
47                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
48                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
49                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
50                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
51                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
52                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
53                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
54                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
55                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
56                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
57                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
58                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
59                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
60                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
61                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
62                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
63                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
64                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
65                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
66                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
67                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
68                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
69                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
70                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
71                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
72                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
73                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
74                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
75                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
76                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
77                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
78                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
79                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
80                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
81                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
82                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
83                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
84                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
85                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
86                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
87                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
88                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
89                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
90                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
91                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
92                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
93                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
94                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
95                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
96                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
97                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
98                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
99                             OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
100                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
101                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
102                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
103                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
104                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
105                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
106                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
107                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
108                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
109                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
110                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
111                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
112                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
113                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
114                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
115                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
116                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
117                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
118                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
119                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
120                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
121                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
122                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
123                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
124                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
125                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
126                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
127                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
128                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
129                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
130                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
131                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
132                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
133                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
134                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
135                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
136                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
137                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
138                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
139                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
140                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
141                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
142                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
143                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
144                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
145                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
146                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
147                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
148                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
149                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
150                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
151                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
152                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
153                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
154                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
155                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
156                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
157                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
158                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
159                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
160                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
161                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
162                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
163                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
164                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
165                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz
166                            OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz

Lists for each molecule:
OKKJLVBELUTLKV-UHFFFAOYSA-N.xyz:  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166
